group_size,n_groups,n_proteins,n_drug_target,target_rate_pct
1,550,550,46,8.36
2,135,270,11,4.07
3,71,213,22,10.33
4,45,180,11,6.11
5,26,130,7,5.38
6,22,132,7,5.3
7,18,126,6,4.76
8,13,104,3,2.88
9,9,81,9,11.11
10,4,40,1,2.5
11,3,33,0,0.0
12,6,72,9,12.5
13,3,39,0,0.0
14,8,112,4,3.57
15,4,60,13,21.67
16,4,64,23,35.94
17,6,102,7,6.86
18,4,72,7,9.72
19,2,38,5,13.16
21,1,21,0,0.0
22,1,22,1,4.55
23,1,23,2,8.7
25,2,50,1,2.0
29,1,29,0,0.0
32,1,32,0,0.0
33,1,33,6,18.18
34,2,68,7,10.29
39,2,78,0,0.0
40,1,40,20,50.0
45,2,90,0,0.0
46,1,46,1,2.17
47,1,47,2,4.26
48,1,48,9,18.75
51,1,51,1,1.96
89,1,89,0,0.0
90,1,90,0,0.0
113,1,113,31,27.43
