split_index,seed_accepted,attempts,accepted,train_n,train_pct,test_n,test_pct,test_size_deviation_pp,size_warning,train_essential,test_essential,train_noness,test_noness,train_unknown,test_unknown,train_ess_rate_pct,test_ess_rate_pct,test_deviation_pp,warning,leakage_violations,large_test_n,large_test_pct,large_test_ess_pct,medium_test_n,medium_test_pct,medium_test_ess_pct,small_test_n,small_test_pct,small_test_ess_pct,singleton_test_n,singleton_test_pct,singleton_test_ess_pct
1,42,1,True,2709,79.82,685,20.18,0.18,False,617,130,2033,520,55,34,23.28,20.0,2.64,False,0,213,22.0,12.6,201,18.7,23.0,160,20.2,23.1,110,20.0,23.1
2,43,1,True,2771,81.64,623,18.36,1.64,False,598,149,2093,460,76,13,22.22,24.47,1.83,False,0,149,15.4,36.7,217,20.2,23.2,146,18.4,16.1,110,20.0,21.3
3,44,1,True,2691,79.29,703,20.71,0.71,False,590,157,2020,533,77,12,22.61,22.75,0.11,False,0,233,24.0,34.2,196,18.2,16.5,163,20.6,16.8,110,20.0,18.2
4,45,1,True,2811,82.82,583,17.18,2.82,False,633,114,2106,447,68,21,23.11,20.32,2.32,False,0,129,13.3,9.2,183,17.0,25.7,160,20.2,21.5,110,20.0,21.9
5,46,1,True,2604,76.72,790,23.28,3.28,False,593,154,1952,601,55,34,23.3,20.4,2.24,False,0,298,30.7,25.5,216,20.1,18.3,165,20.8,15.4,110,20.0,18.7
6,1047,2,True,2714,79.96,680,20.04,0.04,False,618,129,2018,535,74,15,23.44,19.43,3.21,False,0,169,17.4,21.3,231,21.5,20.6,169,21.3,17.7,110,20.0,16.7
7,1048,2,True,2757,81.23,637,18.77,1.23,False,590,157,2086,467,77,12,22.05,25.16,2.52,False,0,156,16.1,35.9,209,19.4,27.5,161,20.3,18.1,110,20.0,15.7
8,49,1,True,2726,80.32,668,19.68,0.32,False,625,122,2036,517,61,28,23.49,19.09,3.55,False,0,209,21.5,14.5,195,18.1,24.9,153,19.3,21.9,110,20.0,12.8
9,1050,2,True,2721,80.17,673,19.83,0.17,False,594,153,2053,500,70,19,22.44,23.43,0.79,False,0,157,16.2,32.0,241,22.4,18.3,164,20.7,24.2,110,20.0,21.2
10,51,1,True,2717,80.05,677,19.95,0.05,False,590,157,2041,512,82,7,22.42,23.47,0.83,False,0,178,18.4,37.9,241,22.4,19.4,147,18.5,14.4,110,20.0,21.1
11,2052,3,True,2749,81.0,645,19.0,1.0,False,582,165,2082,471,81,8,21.85,25.94,3.3,False,0,175,18.0,35.8,207,19.3,24.8,152,19.2,21.3,110,20.0,18.7
12,53,1,True,2738,80.67,656,19.33,0.67,False,595,152,2067,486,72,17,22.35,23.82,1.18,False,0,200,20.6,36.7,189,17.6,21.5,156,19.7,18.2,110,20.0,13.6
13,54,1,True,2675,78.82,719,21.18,1.18,False,614,133,2001,552,56,33,23.48,19.42,3.22,False,0,240,24.7,16.5,216,20.1,25.5,152,19.2,17.4,110,20.0,16.4
14,55,1,True,2718,80.08,676,19.92,0.08,False,617,130,2029,524,68,21,23.32,19.88,2.76,False,0,218,22.5,25.8,189,17.6,14.6,158,19.9,19.4,110,20.0,17.6
15,56,1,True,2770,81.61,624,18.39,1.61,False,623,124,2068,485,75,14,23.15,20.36,2.28,False,0,153,15.8,20.7,202,18.8,25.6,158,19.9,10.4,110,20.0,24.5
