,0
task,cp_drug_chembl
model,RandomForest
split_index,15
n_train,2717
n_test,677
pct_positive_test,4.9%
hypergraph_pr_auc,0.3674
pairwise_pr_auc,0.2099
hypergraph_features,"['base_Degree', 'base_LocalClustCoeff', 'base_TriangleCount', 'base_UniquePartners', 'base_AvgNeighbourDegree', 'stoich_WeightedTriangles', 'stoich_AvgNeighbourDegreeStoich', 'stoich_RangeComplexSize', 'stoich_MedComplexSize', 'stoich_MedianRatio', 'stoich_RangeRatio', 'protein_MedianUniqueRatio', 'protein_RangeUniqueRatio', 'protein_MedComplexNodes', 'protein_RangeComplexNodes']"
pairwise_features,"['pair_Degree', 'pair_LocalClustCoeff', 'pair_TriangleCount', 'pair_AvgNeighborDegree']"
dependence_features,"['stoich_MedianRatio', 'protein_MedComplexNodes', 'protein_MedianUniqueRatio', 'stoich_MedComplexSize']"
