split_index,n_train,n_test,train_pos_pct,test_pos_pct,hypergraph_pr_auc,hypergraph_f1,pairwise_pr_auc,pairwise_f1,pr_auc_diff,f1_diff
1,2744,650,5.97667638483965,6.615384615384616,0.2856045926821408,0.336283185840708,0.1880973671479454,0.25862068965517243,0.09750722553419539,0.07766249618553556
2,2768,626,6.141618497109826,5.9105431309904155,0.26802156763737417,0.23333333333333334,0.16812004460099028,0.16161616161616163,0.09990152303638389,0.07171717171717171
3,2723,671,6.022769004774147,6.4083457526080485,0.33149867258107396,0.31645569620253167,0.22191415069772966,0.2583732057416268,0.1095845218833443,0.058082490460904856
4,2764,630,6.1143270622286545,6.031746031746032,0.3031756846393659,0.35036496350364965,0.2588352728010121,0.25,0.0443404118383538,0.10036496350364965
5,2763,631,6.297502714440825,5.229793977812995,0.36104444568817307,0.3333333333333333,0.3784726292018071,0.19574468085106383,-0.01742818351363401,0.13758865248226948
6,2740,654,5.802919708029197,7.339449541284404,0.2941010059177669,0.3516483516483517,0.2688352009338585,0.2491349480968858,0.025265804983908402,0.10251340355146588
7,2758,636,6.417693981145758,4.716981132075472,0.22132596464633397,0.3177570093457944,0.19235892675182073,0.2014388489208633,0.028967037894513242,0.11631816042493107
8,2758,636,5.83756345177665,7.232704402515723,0.27535142341290175,0.3225806451612903,0.23215627621819748,0.24390243902439024,0.04319514719470427,0.07867820613690008
9,2747,647,6.297779395704405,5.255023183925812,0.27138404353917994,0.2714285714285714,0.19521863528070357,0.1574074074074074,0.07616540825847637,0.114021164021164
10,2693,701,5.9784626810248795,6.562054208273895,0.20787351725611533,0.22110552763819097,0.25696988361234446,0.1951219512195122,-0.04909636635622913,0.025983576418678767
11,2777,617,6.157724162765574,5.834683954619125,0.49094875297301566,0.3576158940397351,0.2575963338808241,0.21761658031088082,0.23335241909219157,0.13999931372885427
12,2764,630,6.186685962373372,5.714285714285714,0.2182162735540677,0.3090909090909091,0.1530278520165791,0.18181818181818182,0.0651884215374886,0.12727272727272726
13,2727,667,5.793912724605794,7.34632683658171,0.3313174323472946,0.36893203883495146,0.27786296633845703,0.3192488262910798,0.053454466008837576,0.04968321254387165
14,2714,680,5.969049373618276,6.61764705882353,0.2958305044650806,0.3308270676691729,0.2682873880986911,0.336283185840708,0.027543116366389453,-0.005456118171535074
15,2763,631,6.0441549040897575,6.3391442155309035,0.40408986473639225,0.38235294117647056,0.3307543429155332,0.23770491803278687,0.07333552182085906,0.1446480231436837
