database,task,model,arm,feature,rank,mean_imp,std_imp,hit_rate,binom_p
corum,chembl,RandomForest,hyper,protein_MedComplexNodes,1,0.05914970690125124,0.024215779319349248,0.98,7.884069497892145e-40
corum,chembl,RandomForest,hyper,protein_MedianUniqueRatio,2,0.05473589643067546,0.028341082418635335,0.96,2.08925524731209e-35
corum,chembl,RandomForest,hyper,base_Degree,3,0.03807838691693823,0.015885238328443303,0.9866666666666667,1.5871106406942878e-41
corum,chembl,RandomForest,hyper,base_TriangleCount,4,0.023281952628394838,0.015085574556406623,0.86,3.7496164825096794e-20
corum,chembl,RandomForest,hyper,protein_RangeComplexNodes,5,0.009170964520517494,0.008646812411925468,0.6133333333333333,0.006851639068173716
corum,chembl,RandomForest,hyper,protein_RangeUniqueRatio,6,0.008063688041438045,0.008799541942228598,0.5333333333333333,0.4625495178668307
corum,chembl,RandomForest,hyper,base_AvgNeighbourDegree,7,0.0070661613856710425,0.019124069182275456,0.5333333333333333,0.4625495178668307
corum,chembl,RandomForest,hyper,base_LocalClustCoeff,8,0.005805724478605953,0.006288376757409568,0.47333333333333333,0.567775487675328
corum,chembl,RandomForest,hyper,stoich_MedianRatio,9,0.004698651069481931,0.024258901517819387,0.4666666666666667,0.4625495178668307
corum,chembl,RandomForest,hyper,base_UniquePartners,10,0.0018343880113774096,0.01477647917090984,0.3466666666666667,0.00021507659441552787
corum,chembl,RandomForest,hyper,stoich_AvgNeighbourDegreeStoich,12,0.0003397106138596134,0.002677069891674771,0.16666666666666666,3.4105740593607413e-17
corum,chembl,RandomForest,hyper,stoich_RangeRatio,14,-6.954561019710565e-05,0.0005606538261374639,0.1,2.5548753585057904e-25
corum,chembl,RandomForest,hyper,stoich_WeightedTriangles,15,-0.00035149857127806067,0.0019197298913916309,0.1,2.5548753585057904e-25
corum,chembl,RandomForest,hyper,stoich_RangeComplexSize,16,-0.00037374665781169633,0.0017776945726853202,0.1,2.5548753585057904e-25
corum,chembl,RandomForest,hyper,stoich_MedComplexSize,19,-0.002816277389770586,0.01989997390427725,0.32,1.2305573559865741e-05
corum,chembl,RandomForest,pair,pair_LocalClustCoeff,1,0.17777159817946322,0.026497249634355038,1.0,1.401298464324817e-45
corum,chembl,RandomForest,pair,pair_AvgNeighborDegree,2,0.07518008296699343,0.022557508675234622,1.0,1.401298464324817e-45
corum,chembl,RandomForest,pair,pair_Degree,3,0.07454488244396217,0.03035625672476862,0.9933333333333333,2.1159606811304738e-43
corum,chembl,RandomForest,pair,pair_TriangleCount,4,0.03721321586014631,0.015590878089355607,0.9533333333333334,4.330280643440687e-34
