rank,type,feature,mean,std,hit_rate,binom_p
1,real,protein_MedianUniqueRatio,0.05617400954796627,0.01777365308528293,1.0,1.401298464324817e-45
2,real,protein_MedComplexNodes,0.041124448183144285,0.016072266571536507,0.9933333333333333,2.1159606811304738e-43
3,real,base_Degree,0.027899864970963813,0.016415224010067047,0.94,1.2403361289530762e-31
4,real,protein_RangeUniqueRatio,0.01771223996179492,0.01499837859696322,0.8066666666666666,1.4617211813693968e-14
5,real,base_TriangleCount,0.013158797511984045,0.01082846714056074,0.7266666666666667,2.613846398298242e-08
6,real,protein_RangeComplexNodes,0.010126840378655785,0.009221028748161619,0.7,1.0588547527634432e-06
7,real,stoich_MedianRatio,0.008883906793731855,0.019600120616131658,0.5066666666666667,0.9349614855143196
8,real,base_AvgNeighbourDegree,0.00839308218151633,0.0091477554005706,0.5733333333333334,0.08607110318597062
9,real,base_LocalClustCoeff,0.007735994103143729,0.009134027996512526,0.5133333333333333,0.8065959963978476
10,real,base_UniquePartners,0.0029529683825593772,0.006923619880706623,0.34,0.00010978172637063558
11,real,stoich_MedComplexSize,0.002772723486241351,0.012287158410402248,0.41333333333333333,0.04086849386649401
12,real,stoich_RangeComplexSize,8.532498137263818e-05,0.001664480947285183,0.08666666666666667,2.829047199141368e-27
13,real,stoich_WeightedTriangles,5.170331622208673e-05,0.001413464461969561,0.08,2.642343883518912e-28
14,NOISE,rand_4,7.67576349810987e-06,0.006130012946216597,,
15,NOISE,rand_1,-2.4830822141915694e-05,0.0061609088037995665,,
16,NOISE,rand_3,-0.0003579492333504818,0.006831648697628626,,
17,NOISE,rand_0,-0.00039337430899067093,0.00618514071386086,,
18,real,stoich_RangeRatio,-0.0005099783600173414,0.0013250361418673917,0.04,2.08925524731209e-35
19,NOISE,rand_2,-0.0005542924948153473,0.006945043842509346,,
20,real,stoich_AvgNeighbourDegreeStoich,-0.0012233356700114,0.0022968483561317432,0.05333333333333334,7.799950339037261e-33
