feature,mean,std,median,n,is_noise
base_TriangleCount,0.04675217180392723,0.027596359192986,0.04863675034703622,150,False
stoich_WeightedTriangles,0.043857386385736406,0.037247439199797165,0.03205939417978246,150,False
base_AvgNeighbourDegree,0.035366305718184395,0.013091015981260484,0.037367052875380155,150,False
base_UniquePartners,0.02484142542129509,0.02346111717305391,0.022493795624032753,150,False
protein_MedComplexNodes,0.018312862559540774,0.014493556701098509,0.01784969198670902,150,False
protein_MedianUniqueRatio,0.01800669456833567,0.013463717002662572,0.017890596747033576,150,False
protein_RangeUniqueRatio,0.015509989450946868,0.007156715034923817,0.01544279611369403,150,False
protein_RangeComplexNodes,0.0124798019872037,0.007901150459118714,0.012908991784338592,150,False
stoich_AvgNeighbourDegreeStoich,0.010288459992805275,0.006970134712585662,0.010761859621797792,150,False
stoich_MedianRatio,0.004810617713713623,0.007750025941981756,0.005727202884640864,150,False
base_LocalClustCoeff,0.0031462227218895713,0.00830795484191735,0.005033613605102511,150,False
stoich_RangeComplexSize,0.0030972006271886574,0.005591576629712206,0.002152329581884288,150,False
stoich_RangeRatio,0.0022388923739788905,0.003185355949566288,0.0022587984560088425,150,False
base_Degree,0.0020970703388087405,0.005222039173181845,0.0018428146487338482,150,False
stoich_MedComplexSize,-0.000762401396613487,0.009165322130155678,6.20396601582196e-05,150,False
[noise × 5],0.00020694845501703833,0.0023595099425086363,0.0001867227943205596,750,True
rand_0,0.0004424649432056062,0.002614531641451424,0.0005817587722060536,150,True
rand_1,0.00034590732668951556,0.002410623639801205,0.00025444770572564663,150,True
rand_2,-0.0001563405120249183,0.0022330295100502807,5.4939544958690353e-05,150,True
rand_3,0.00017021994148422637,0.0021530377476505916,6.439930226255773e-05,150,True
rand_4,0.00023249057573076172,0.0023149089895860404,0.00026062002059325516,150,True
